"Category Type: Category Type Name","Category: Category Name","Parent Category"
"Mapping Categories","Security","Infrastructure"
"Mapping Categories","Core Services","Infrastructure"
"Mapping Categories","Data Privacy","Infrastructure"
"Mapping Categories","Annotation","Mapping"
"Mapping Categories","Routing","Mapping"
"Mapping Categories","Scenarios","Mapping"
"Mapping Categories","Map Generation","Mapping"
"Mapping Categories","Imaging Analysis","Mapping"
"Mapping Categories","Locations","Mapping"
"Mapping Categories","Navigation","Mapping"
"Mapping Categories","Transit","Marketplace"
"Mapping Categories","Advertising","Marketplace"
"Mapping Categories","Payments","Marketplace"
"Mapping Categories","Demand / Supply","Marketplace"
"Mapping Categories","Incentives","Marketplace"
"Mapping Categories","Conversion","Marketplace"
"Mapping Categories","Communications (Marketplace)","Marketplace"
"Mapping Categories","Support","Marketplace"
"Mapping Categories","Pricing Intelligence","Marketplace"
"Mapping Categories","Dispatch","Marketplace"
"Mapping Categories","Software","Design"
"Mapping Categories","Hardware","Design"
"Mapping Categories","Autonomy","Autonomous"
"Mapping Categories","Fleet Management (AV)","Autonomous"
"Mapping Categories","AV Infrastructure","Autonomous"
"Mapping Categories","Vehicle","Autonomous"
"Mapping Categories","Trajectories","Imaging Analysis"
"Mapping Categories","Object Tracking","Imaging Analysis"
"Mapping Categories","Pickup / Dropoff","Locations"
"Mapping Categories","Projected / Predicted Locations","Pickup / Dropoff"
"Mapping Categories","Curbs","Pickup / Dropoff"
"Mapping Categories","Location Labeling","Pickup / Dropoff"
"Mapping Categories","Map Updates","Map Generation"
"Mapping Categories","Geometric Map","Map Generation"
"Mapping Categories","Semantic Map Info","Map Generation"
"Mapping Categories","Matching Intelligence","Dispatch"
"Mapping Categories","Rider","Incentives"
"Mapping Categories","Driver","Incentives"
"Mapping Categories","Developer Platform","Partnerships"
"Mapping Categories","Concierge","Partnerships"
"Mapping Categories","Pre-request Presentation","Matching Intelligence"
"Mapping Categories","Transportation Mode","Matching Intelligence"
"Mapping Categories","Pooling Requests","Matching Intelligence"
"Mapping Categories","Congested Venues","Matching Intelligence"
"Mapping Categories","Pre-set / Scheduled Dispatch","Matching Intelligence"
"Mapping Categories","Driver Acceptance Probability","Matching Intelligence"
"Mapping Categories","Shared Rides","Matching Intelligence"
"Mapping Categories","ETA","Matching Intelligence"
"Mapping Categories","Onboarding","Matching Intelligence"
"Mapping Categories","Power Subsystem","Vehicle"
"Mapping Categories","Heating / Cooling Subsystem","Vehicle"
"Mapping Categories","In Car Experience (AV)","Vehicle"
"Mapping Categories","Compute System","Vehicle"
"Mapping Categories","Communications (Vehicle)","Vehicle"
"Mapping Categories","Sensors","Vehicle"
"Mapping Categories","Cabin Sanitation","Vehicle"
"Mapping Categories","Battery (Vehicle)","Vehicle"
"Mapping Categories","Performance Metrics","Autonomy"
"Mapping Categories","Simulation","Autonomy"
"Mapping Categories","Planning (AV)","Autonomy"
"Mapping Categories","Control (AV)","Autonomy"
"Mapping Categories","Perception (AV)","Autonomy"
"Mapping Categories","Prediction (AV)","Autonomy"
"Mapping Categories","Localization (AV)","Autonomy"
"Mapping Categories","Functional Safety","Autonomy"
"Mapping Categories","Diagnostics (AV)","AV Infrastructure"
"Mapping Categories","Log Visualizers (AV)","AV Infrastructure"
"Mapping Categories","Security (AV)","AV Infrastructure"
"Mapping Categories","Data Ingestion and Labeling (AV)","AV Infrastructure"
"Mapping Categories","Monitoring (AV)","AV Infrastructure"
"Mapping Categories","Facilities (AV)","Fleet Management (AV)"
"Mapping Categories","Marketplace (AV)","Fleet Management (AV)"
"Mapping Categories","Parking (AV)","Fleet Management (AV)"
"Mapping Categories","Maintenance / Servicing (AV)","Fleet Management (AV)"
"Mapping Categories","Sensor Calibration","Sensors"
"Mapping Categories","Lidar","Sensors"
"Mapping Categories","GPS","Sensors"
"Mapping Categories","Radar","Sensors"
"Mapping Categories","Camera","Sensors"
"Mapping Categories","IMU","Sensors"
"Mapping Categories","In Vehicle Sensors","Sensors"
"Mapping Categories","Vehicle to Infrastructure","Communications (Vehicle)"
"Mapping Categories","Vehicle to Pedestrian","Communications (Vehicle)"
"Mapping Categories","Vehicle to Vehicle","Communications (Vehicle)"
"Mapping Categories","Vehicle to Network","Communications (Vehicle)"
"Mapping Categories","Vehicle to Passenger","Communications (Vehicle)"
"Mapping Categories","Object Classification (AV)","Perception (AV)"
"Mapping Categories","Object Identification (AV)","Perception (AV)"
"Mapping Categories","Situational Awareness (AV)","Perception (AV)"
"Mapping Categories","Simulator (Marketplace AV)","Marketplace (AV)"
"Mapping Categories","Pricing Intelligence (AV)","Marketplace (AV)"
"Mapping Categories","Dispatch (AV)","Marketplace (AV)"
"Mapping Categories","Matching Intelligence (AV)","Dispatch (AV)"
"Mapping Categories","Conversion (AV)","Pricing Intelligence (AV)"
"Mapping Categories","ETA (AV)","Pricing Intelligence (AV)"
"Mapping Categories","Demand / Supply (AV)","Pricing Intelligence (AV)"
"Mapping Categories","Utilization (AV)","Matching Intelligence (AV)"
"Mapping Categories","Acceptance Probability (AV)","Matching Intelligence (AV)"
"Mapping Categories","Pre-set / Scheduled Dispatch (AV)","Matching Intelligence (AV)"
"Mapping Categories","Locations for Matching (AV)","Matching Intelligence (AV)"
"Mapping Categories","Rider (Comms Mktplc)","Communications (Marketplace)"
"Mapping Categories","Driver (Comms Mktplc)","Communications (Marketplace)"
"Mapping Categories","Communications (Misc)","Miscellaneous"
"Mapping Categories","Telecom","Miscellaneous"
"Mapping Categories","User Rating Modeling","Miscellaneous"
"Mapping Categories","Social","Miscellaneous"
"Mapping Categories","Security (Miscellaneous)","Miscellaneous"
"Mapping Categories","Networking","Miscellaneous"
"Mapping Categories","Mobile Device","Miscellaneous"
"Mapping Categories","IPTV","Miscellaneous"
"Mapping Categories","GUI","Miscellaneous"
"Mapping Categories","Finance","Miscellaneous"
"Mapping Categories","ECommerce","Miscellaneous"
"Mapping Categories","DVR","Miscellaneous"
"Mapping Categories","Directory Services","Miscellaneous"
"Mapping Categories","Database","Miscellaneous"
"Mapping Categories","Advertising (Misc)","Miscellaneous"
"Mapping Categories","Optical Networking","Miscellaneous"
"Mapping Categories","Fiber Networking","Miscellaneous"
"Mapping Categories","Enterprise","Miscellaneous"
"Mapping Categories","Content Services","Miscellaneous"
"Mapping Categories","User Profile","Miscellaneous"
"Mapping Categories","Vehicle (Miscellaneous)","Miscellaneous"
"Mapping Categories","Subscriber Recommendations","Content Services"
"Mapping Categories","Bartering","Content Services"
"Mapping Categories","Video Conference","Communications (Misc)"
"Mapping Categories","Voice Mail","Communications (Misc)"
"Mapping Categories","Voice Calling","Communications (Misc)"
"Mapping Categories","Teleconference","Communications (Misc)"
"Mapping Categories","Messaging","Communications (Misc)"
"Mapping Categories","Conference Call","Communications (Misc)"
"Mapping Categories","Call Detail","Communications (Misc)"
"Mapping Categories","Billing (telecom)","Telecom"
"Mapping Categories","Avatar","User Profile"
"Mapping Categories","Billing","Vehicle (Miscellaneous)"
"Mapping Categories","Display (Misc)","Advertising (Misc)"
"Mapping Categories","Targeting Intelligence (Misc)","Advertising (Misc)"
"Mapping Categories","Multi-Modal (Transportation Mode)","Transportation Mode"
"Mapping Categories","Scooter (Transportation Mode)","Transportation Mode"
"Mapping Categories","EV3 (Transportation Mode)","Transportation Mode"
"Mapping Categories","Car (Transportation Mode)","Transportation Mode"
"Mapping Categories","Bike (Transportation Mode)","Transportation Mode"
"Mapping Categories","Scooter (Onboarding)","Onboarding"
"Mapping Categories","Bike (Onboarding)","Onboarding"
"Mapping Categories","TBS Operations","TBS"
"Mapping Categories","Vehicle Type","TBS"
"Mapping Categories","Software (TBS)","TBS"
"Mapping Categories","Hardware (TBS)","TBS"
"Mapping Categories","Fork","Hardware (TBS)"
"Mapping Categories","Tires","Hardware (TBS)"
"Mapping Categories","Frame","Hardware (TBS)"
"Mapping Categories","Carrier","Hardware (TBS)"
"Mapping Categories","Suspension","Hardware (TBS)"
"Mapping Categories","Braking","Hardware (TBS)"
"Mapping Categories","Station","Hardware (TBS)"
"Mapping Categories","Computing Device","Hardware (TBS)"
"Mapping Categories","Pedals","Hardware (TBS)"
"Mapping Categories","Battery","Hardware (TBS)"
"Mapping Categories","Motorization","Hardware (TBS)"
"Mapping Categories","Wheels","Hardware (TBS)"
"Mapping Categories","Throttle","Hardware (TBS)"
"Mapping Categories","Lighting","Hardware (TBS)"
"Mapping Categories","Gears","Hardware (TBS)"
"Mapping Categories","Seat","Hardware (TBS)"
"Mapping Categories","Fender","Hardware (TBS)"
"Mapping Categories","Kickstand","Hardware (TBS)"
"Mapping Categories","Docking","Hardware (TBS)"
"Mapping Categories","Locking","Hardware (TBS)"
"Mapping Categories","Handles","Hardware (TBS)"
"Mapping Categories","Steering Column","Hardware (TBS)"
"Mapping Categories","Dock","Hardware (TBS)"
"Mapping Categories","Dockless","Docking"
"Mapping Categories","Docked","Docking"
"Mapping Categories","User Interface","Computing Device"
"Mapping Categories","Charging","Battery"
"Mapping Categories","Control I/O","Software (TBS)"
"Mapping Categories","Diagnostics","Software (TBS)"
"Mapping Categories","Communications Network","Software (TBS)"
"Mapping Categories","Status","Diagnostics"
"Mapping Categories","Notifications","Diagnostics"
"Mapping Categories","Sensing","Diagnostics"
"Mapping Categories","Environment","Sensing"
"Mapping Categories","Vehicle (Sensing)","Sensing"
"Mapping Categories","Weight (Vehicle Sensing)","Vehicle (Sensing)"
"Mapping Categories","Steering","Vehicle (Sensing)"
"Mapping Categories","Tire (Vehicle Sensing)","Vehicle (Sensing)"
"Mapping Categories","Vehicle to User (Comms Network)","Communications Network"
"Mapping Categories","Vehicle to Network (Comms Network)","Communications Network"
"Mapping Categories","Vehicle to Vehicle (Comms Network)","Communications Network"
"Mapping Categories","Network to User (Comms Network)","Communications Network"
"Mapping Categories","Maintenance","TBS Operations"
"Mapping Categories","Positioning & Rebalancing","TBS Operations"
"Mapping Categories","Charging (Maint)","Maintenance"
"Mapping Categories","Scooter (Vehicle Type)","Vehicle Type"
"Mapping Categories","EV3 (Vehicle Type)","Vehicle Type"
"Mapping Categories","Classic Bike (Vehicle Type)","Vehicle Type"
"Mapping Categories","Cosmo","Vehicle Type"
"Mapping Categories","Driver Services","Rideshare Services"
"Mapping Categories","Passenger Services","Rideshare Services"
"Mapping Categories","Telematics","Rideshare Services"
"Mapping Categories","Vehicle Health","Vehicle Service Center"
"Mapping Categories","Training Center","Vehicle Service Center"
"Mapping Categories","Service & Maintenance","Vehicle Service Center"
"Mapping Categories","Vehicle (Telematics)","Telematics"
"Mapping Categories","Hardware (Telematics)","Telematics"
"Mapping Categories","Insurance (Telematics)","Telematics"
"Mapping Categories","Safety (Telematics)","Telematics"
"Mapping Categories","Safety","Performance Metrics"
"Mapping Categories","Utility","Performance Metrics"
"Mapping Categories","Elegance","Performance Metrics"
"Mapping Categories","Comfort","Performance Metrics"
"Mapping Categories","Collection","Scenarios"
"Mapping Categories","Encoding","Scenarios"
"Mapping Categories","AV Readiness","Scenarios"
"Mapping Categories","Characterization","Scenarios"
"Mapping Categories","Exposure","Scenarios"
"Mapping Categories","Agent Trajectory","Trajectories"
"Mapping Categories","Ego Trajectory","Trajectories"
"Mapping Categories","UEX","Software"
"Mapping Categories","UI","Software"
"Mapping Categories","Passenger UI","UI"
"Mapping Categories","Driver UI","UI"
"Mapping Categories","Passenger UEX","UEX"
"Mapping Categories","Driver UEX","UEX"
"Mapping Categories","Multi-Modal","Passenger UEX"
"Mapping Categories","In Vehicle Experience P-UEX","Passenger UEX"
"Mapping Categories","Situational Awareness P-UEX","In Vehicle Experience P-UEX"
"Mapping Categories","VR","In Vehicle Experience P-UEX"
"Mapping Categories","AR","In Vehicle Experience P-UEX"
"Mapping Categories","Vending","In Vehicle Experience P-UEX"
"Mapping Categories","Industrial Design","Hardware"
"Mapping Categories","In Vehicle Experience D-UEX","Driver UEX"
"Mapping Categories","Situational Awareness D-UEX","In Vehicle Experience D-UEX"
"Mapping Categories","Fleet Manager","Fleet Platform"
"Mapping Categories","Targeting Intelligence","Advertising"
"Mapping Categories","Display","Advertising"
"Mapping Categories","Express Drive","Fleet"
"Mapping Categories","Vehicle Service Center","Fleet"
"Mapping Categories","Fleet Platform","Fleet"
"Mapping Categories","Rentals","Fleet"
"Mapping Categories","Vehicle Telematics","Express Drive"
"Mapping Categories","Collision","Service & Maintenance"
"Mapping Categories","Marketplace",""
"Mapping Categories","Autonomous",""
"Mapping Categories","Partnerships",""
"Mapping Categories","TBS",""
"Mapping Categories","Fleet",""
"Mapping Categories","Rideshare Services",""
"Mapping Categories","Miscellaneous",""
"Mapping Categories","Infrastructure",""
"Mapping Categories","Mapping",""
"Mapping Categories","Design",""
